id,target_cell,method,measured_gap,measured_fail,pred_gap
20211212_122659__199840__719::fsp__sknsh__1,SKNSH,fsp,1.056,0,-0.025903918
20211212_14909__942569__577::fsp__sknsh__0,SKNSH,fsp,4.162,0,0.42485583
20211212_45907__313665__489::fsp__hepg2__0,HepG2,fsp,6.464,0,2.3408442
20211207_234119__367484__630::sa__k562__0,K562,sa,5.05,0,3.2176871
20211212_12620__229779__1104::fsp__hepg2__0,HepG2,fsp,5.242,0,1.8644768
20211212_55149__346635__1665::fsp__hepg2__5,HepG2,fsp,-0.079,1,0.6809586
20211214_111905__704605__3292::sa_rep__sknsh__0,SKNSH,sa_rep,2.023,0,0.64712334
20211206_24503__33072627__709::al__hepg2__0,HepG2,al,6.161,0,3.5984378
20211207_112927__175796__4222::sa__hepg2__3,HepG2,sa,-1.205,1,0.88678384
20211207_73549__261982__5724::sa__hepg2__4,HepG2,sa,0.891,0,0.9838454
20211214_111905__704605__1733::sa_rep__sknsh__0,SKNSH,sa_rep,1.858,0,0.20785749
20211207_152258__777391__463::sa__sknsh__0,SKNSH,sa,4.918,0,-0.19785357
20211212_82245__817810__1192::fsp__sknsh__3,SKNSH,fsp,2.722,0,0.50633574
20211214_100033__420816__2644::sa_rep__hepg2__0,HepG2,sa_rep,2.573,0,1.501421
20211214_111905__704605__2082::sa_rep__sknsh__0,SKNSH,sa_rep,-1.1,1,0.4287743
20211206_221956__59439361__1444::al__k562__0,K562,al,3.677,0,3.6464305
20211207_212124__46481152__3608::al__sknsh__0,SKNSH,al,2.324,0,0.5548911
20211214_100033__420816__1158::sa_rep__hepg2__0,HepG2,sa_rep,2.086,0,1.8687663
20211214_100033__420816__33::sa_rep__hepg2__0,HepG2,sa_rep,1.357,0,1.2096401
20211212_24754__730114__1202::fsp__k562__3,K562,fsp,3.958,0,1.826272
20211208_4744__21972583__50::al__k562__4,K562,al,2.983,0,1.8322582
20211212_22207__477844__1364::fsp__k562__4,K562,fsp,3.107,0,-0.2570421
20211207_112927__175796__3776::sa__hepg2__2,HepG2,sa,2.403,0,0.87196326
20211207_100944__255626__6987::sa__hepg2__5,HepG2,sa,2.67,0,0.83876514
20211212_75659__621411__1155::fsp__sknsh__3,SKNSH,fsp,1.423,0,0.47853822
20211207_212124__46481152__1918::al__sknsh__0,SKNSH,al,1.934,0,-0.21299347
20211212_22207__477844__764::fsp__k562__2,K562,fsp,6.022,0,0.8246059
20211213_141525__841365__226::hmc__hepg2__0,HepG2,hmc,-1.568,1,-0.73108417
20211214_111905__704605__2743::sa_rep__sknsh__0,SKNSH,sa_rep,-0.055,1,-0.47276336
20211212_61436__944763__1042::fsp__hepg2__3,HepG2,fsp,3.677,0,1.4322278
20211207_224529__679056__2862::sa__k562__1,K562,sa,3.976,0,1.0009197
20211207_112927__175796__4241::sa__hepg2__3,HepG2,sa,2.38,0,1.283753
20211212_10357__323391__1901::fsp__k562__0,K562,fsp,3.328,0,3.9640224
20211207_205407__862697__6717::sa__k562__5,K562,sa,3.49,0,0.8869816
20211212_61436__944763__1438::fsp__hepg2__4,HepG2,fsp,3.324,0,0.93156224
20211212_55149__346635__1692::fsp__hepg2__5,HepG2,fsp,2.688,0,0.84818053
20211207_224529__679056__392::sa__k562__0,K562,sa,6.446,0,2.033481
20211207_163007__848589__2148::sa__sknsh__1,SKNSH,sa,1.063,0,-0.59426075
20211212_24754__730114__1509::fsp__k562__5,K562,fsp,2.733,0,1.5200231
20211207_152258__777391__185::sa__sknsh__0,SKNSH,sa,2.729,0,0.726107
20211206_25248__57624260__24::al__sknsh__4,SKNSH,al,3.392,0,0.64569795
20211210_223112__860883__185::hmc__sknsh__0,SKNSH,hmc,0.401,0,-0.2776941
20211212_10357__323391__1451::fsp__k562__0,K562,fsp,6.476,0,2.3553312
20211212_122659__199840__777::fsp__sknsh__2,SKNSH,fsp,2.42,0,-0.08332714
20211207_85512__472183__6507::sa__hepg2__5,HepG2,sa,0.767,0,0.6253134
20211212_85225__619474__1658::fsp__k562__5,K562,fsp,0.606,0,-0.08746308
20211210_223112__860883__37::hmc__sknsh__0,SKNSH,hmc,1.58,0,0.023970634
20211207_195336__853804__4198::sa__k562__3,K562,sa,2.503,0,2.256458
20211207_205407__862697__6747::sa__k562__5,K562,sa,3.131,0,0.4344036
20211212_122659__199840__916::fsp__sknsh__2,SKNSH,fsp,3.401,0,0.907111
20211207_205407__862697__319::sa__k562__0,K562,sa,5.937,0,3.0656834
20211214_111905__704605__1799::sa_rep__sknsh__0,SKNSH,sa_rep,0.612,0,-0.17707543
20211210_222135__426940__5::hmc__hepg2__0,HepG2,hmc,0.9,0,0.09528692
20211214_94001__624120__2821::sa_rep__k562__0,K562,sa_rep,2.028,0,-0.09461311
20211208_4744__21972583__3::al__k562__4,K562,al,3.425,0,2.3850822
20211207_85512__472183__3108::sa__hepg2__2,HepG2,sa,2.89,0,0.8830104
20211207_214935__668330__3977::sa__k562__2,K562,sa,1.769,0,0.6413905
20211207_152258__777391__2304::sa__sknsh__1,SKNSH,sa,1.681,0,0.8267821
20211207_175000__383007__1831::sa__sknsh__0,SKNSH,sa,3.706,0,0.1544228
20211207_63610__124703__820::sa__hepg2__0,HepG2,sa,4.17,0,2.5762641
20211207_152258__777391__786::sa__sknsh__0,SKNSH,sa,3.963,0,0.006491363
20211212_73316__958155__528::fsp__sknsh__1,SKNSH,fsp,1.596,0,0.18206508
20211207_152258__777391__6490::sa__sknsh__5,SKNSH,sa,0.756,0,0.4892491
20211207_63610__124703__703::sa__hepg2__0,HepG2,sa,2.058,0,1.2957463
20211212_61436__944763__39::fsp__hepg2__0,HepG2,fsp,3.085,0,2.6738963
20211206_25443__72806280__6::al__hepg2__0,HepG2,al,2.446,0,2.8424926
20211212_55149__346635__493::fsp__hepg2__0,HepG2,fsp,2.933,0,1.5973619
20211207_152258__777391__6178::sa__sknsh__5,SKNSH,sa,1.521,0,0.21970005
20211212_24754__730114__895::fsp__k562__2,K562,fsp,3.256,0,0.98133194
20211212_122659__199840__84::fsp__sknsh__0,SKNSH,fsp,3.598,0,-0.3040774
20211212_92818__893131__774::fsp__k562__2,K562,fsp,2.247,0,0.21475147
20211206_221956__59439361__3799::al__k562__0,K562,al,5.404,0,3.260995
20211210_221533__849423__148::hmc__k562__0,K562,hmc,2.946,0,1.4794992
20211207_205407__862697__1177::sa__k562__0,K562,sa,3.931,0,2.6093254
20211210_220554__102599__73::hmc__k562__0,K562,hmc,3.888,0,1.5339156
20211207_163007__848589__234::sa__sknsh__0,SKNSH,sa,4.853,0,-0.007819891
20211207_233624__81641919__37::al__k562__0,K562,al,6.258,0,4.9027905
20211210_221309__146215__85::hmc__k562__0,K562,hmc,2.656,0,0.3314343
20211207_234119__367484__4362::sa__k562__3,K562,sa,0.125,0,0.14728212
20211207_63610__124703__607::sa__hepg2__0,HepG2,sa,2.882,0,0.90731144
20211212_92818__893131__1050::fsp__k562__3,K562,fsp,4.336,0,1.2501422
20211214_94001__624120__2880::sa_rep__k562__0,K562,sa_rep,0.949,0,1.0258895
20211206_221956__59439361__3212::al__k562__0,K562,al,4.194,0,1.6366913
20211207_175000__383007__2937::sa__sknsh__1,SKNSH,sa,2.804,0,-0.043788105
20211207_212124__46481152__332::al__sknsh__0,SKNSH,al,3.194,0,-0.7134839
20211210_221421__693103__65::hmc__k562__0,K562,hmc,3.87,0,0.8645319
20211206_221956__59439361__1387::al__k562__0,K562,al,4.178,0,3.4003525
20211210_200256__612928__1299::fsp_uc__hepg2__0,HepG2,fsp_uc,2.762,0,3.3851314
20211212_14909__942569__702::fsp__sknsh__0,SKNSH,fsp,1.292,0,0.40598312
20211207_212124__46481152__1524::al__sknsh__0,SKNSH,al,4.656,0,0.65578294
20211207_141610__992334__883::sa__sknsh__0,SKNSH,sa,2.187,0,0.3619538
