id,label,act_gap,acc_binary_gap,acc_logsignal_gap
20211212_22207__477844__1202::fsp__k562__3,0,0.248679,0.137028,0.158514
20211206_24503__33072627__2020::al__hepg2__0,0,1.689503,0.883701,1.468077
20211207_152258__777391__4573::sa__sknsh__3,1,-0.719835,-0.015100,-0.160643
20211207_73549__261982__125::sa__hepg2__0,0,2.514854,0.967117,1.888425
20211214_100033__420816__1072::sa_rep__hepg2__0,0,1.870274,0.919574,1.780318
20211207_141610__992334__3028::sa__sknsh__2,0,-0.267980,-0.053143,-0.419747
20211207_224529__679056__6056::sa__k562__5,0,2.279140,0.766631,1.116515
20211207_100944__255626__2231::sa__hepg2__1,0,1.181638,0.221708,0.670067
20211207_224529__679056__6398::sa__k562__5,0,1.171710,0.489189,0.683242
20211212_122659__199840__719::fsp__sknsh__1,0,-0.025904,0.011508,0.024910
20211212_14909__942569__577::fsp__sknsh__0,0,0.424856,-0.036565,-0.202390
20211212_45907__313665__489::fsp__hepg2__0,0,2.340844,0.973161,1.794434
20211207_234119__367484__630::sa__k562__0,0,3.217687,0.910677,1.377131
20211212_12620__229779__1104::fsp__hepg2__0,0,1.864477,0.973944,1.787075
20211212_55149__346635__1665::fsp__hepg2__5,1,0.680959,0.655471,1.030453
20211214_111905__704605__3292::sa_rep__sknsh__0,0,0.647123,0.020307,0.364220
20211206_24503__33072627__709::al__hepg2__0,0,3.598438,0.994015,2.694375
20211207_112927__175796__4222::sa__hepg2__3,1,0.886784,0.228867,0.279702
20211207_73549__261982__5724::sa__hepg2__4,0,0.983845,0.583307,0.662965
20211214_111905__704605__1733::sa_rep__sknsh__0,0,0.207857,-0.003947,-0.062652
20211207_152258__777391__463::sa__sknsh__0,0,-0.197854,-0.001046,-0.130652
20211212_82245__817810__1192::fsp__sknsh__3,0,0.506336,-0.074968,-0.236569
20211214_100033__420816__2644::sa_rep__hepg2__0,0,1.501421,0.759777,1.090925
20211214_111905__704605__2082::sa_rep__sknsh__0,1,0.428774,0.000795,0.010621
20211206_221956__59439361__1444::al__k562__0,0,3.646430,0.923047,1.172390
20211207_212124__46481152__3608::al__sknsh__0,0,0.554891,0.012852,0.047772
20211214_100033__420816__1158::sa_rep__hepg2__0,0,1.868766,0.980078,2.229370
20211214_100033__420816__33::sa_rep__hepg2__0,0,1.209640,0.515517,0.960266
20211212_24754__730114__1202::fsp__k562__3,0,1.826272,0.776465,1.072571
20211208_4744__21972583__50::al__k562__4,0,1.832258,0.234843,0.511068
20211212_22207__477844__1364::fsp__k562__4,0,-0.257042,0.010904,0.019456
20211207_112927__175796__3776::sa__hepg2__2,0,0.871963,0.484956,0.415899
20211207_100944__255626__6987::sa__hepg2__5,0,0.838765,0.573730,0.662600
20211212_75659__621411__1155::fsp__sknsh__3,0,0.478538,-0.000783,0.116135
20211207_212124__46481152__1918::al__sknsh__0,0,-0.212993,0.008400,0.034604
20211212_22207__477844__764::fsp__k562__2,0,0.824606,0.201937,0.306167
20211213_141525__841365__226::hmc__hepg2__0,1,-0.731084,-0.560411,-0.675247
20211214_111905__704605__2743::sa_rep__sknsh__0,1,-0.472763,-0.001628,0.085138
20211212_61436__944763__1042::fsp__hepg2__3,0,1.432228,0.894424,1.266465
20211207_224529__679056__2862::sa__k562__1,0,1.000920,0.544756,0.714765
20211207_112927__175796__4241::sa__hepg2__3,0,1.283753,0.674360,0.883996
20211212_10357__323391__1901::fsp__k562__0,0,3.964022,0.921920,1.528580
20211207_205407__862697__6717::sa__k562__5,0,0.886982,0.288896,0.348102
20211212_61436__944763__1438::fsp__hepg2__4,0,0.931562,0.747267,0.994327
20211212_55149__346635__1692::fsp__hepg2__5,0,0.848181,0.725822,1.052915
20211207_224529__679056__392::sa__k562__0,0,2.033481,0.914956,1.223022
20211207_163007__848589__2148::sa__sknsh__1,0,-0.594261,-0.038871,-0.270683
20211212_24754__730114__1509::fsp__k562__5,0,1.520023,0.653767,0.805974
20211207_152258__777391__185::sa__sknsh__0,0,0.726107,0.025531,0.388452
20211206_25248__57624260__24::al__sknsh__4,0,0.645698,-0.041088,-0.301120
20211210_223112__860883__185::hmc__sknsh__0,0,-0.277694,-0.079770,-0.181266
20211212_10357__323391__1451::fsp__k562__0,0,2.355331,0.549022,0.517940
20211212_122659__199840__777::fsp__sknsh__2,0,-0.083327,-0.078742,-0.148553
20211207_85512__472183__6507::sa__hepg2__5,0,0.625313,0.437907,0.374048
20211212_85225__619474__1658::fsp__k562__5,0,-0.087463,0.022081,-0.002359
20211210_223112__860883__37::hmc__sknsh__0,0,0.023971,-0.143148,-0.252318
20211207_195336__853804__4198::sa__k562__3,0,2.256458,0.878919,1.120541
20211207_205407__862697__6747::sa__k562__5,0,0.434404,0.548558,0.689502
20211212_122659__199840__916::fsp__sknsh__2,0,0.907111,0.047305,-0.082671
20211207_205407__862697__319::sa__k562__0,0,3.065683,0.943696,1.618911
20211214_111905__704605__1799::sa_rep__sknsh__0,0,-0.177075,0.011283,0.087926
20211210_222135__426940__5::hmc__hepg2__0,0,0.095287,0.048032,0.032290
20211214_94001__624120__2821::sa_rep__k562__0,0,-0.094613,0.020545,0.000714
20211208_4744__21972583__3::al__k562__4,0,2.385082,0.644603,0.913191
20211207_85512__472183__3108::sa__hepg2__2,0,0.883010,0.519195,0.460440
20211207_214935__668330__3977::sa__k562__2,0,0.641390,0.410761,0.559392
20211207_152258__777391__2304::sa__sknsh__1,0,0.826782,-0.008118,0.001575
20211207_175000__383007__1831::sa__sknsh__0,0,0.154423,-0.002147,-0.021902
20211207_63610__124703__820::sa__hepg2__0,0,2.576264,0.985659,1.956003
20211207_152258__777391__786::sa__sknsh__0,0,0.006491,-0.015840,-0.187650
20211212_73316__958155__528::fsp__sknsh__1,0,0.182065,-0.013904,-0.117907
20211207_152258__777391__6490::sa__sknsh__5,0,0.489249,-0.014959,-0.134231
20211207_63610__124703__703::sa__hepg2__0,0,1.295746,0.501470,0.846429
20211212_61436__944763__39::fsp__hepg2__0,0,2.673896,0.986874,2.273045
