pred_gap,fail
-0.46862563,0
-0.4685967,0
-0.46852964,1
-0.4679197,0
-0.46773255,0
-0.46700114,1
-0.4669739,1
-0.46664542,0
-0.46657,0
-0.46656728,0
-0.4665296,0
-0.46644887,0
-0.46582156,1
-0.46580943,0
-0.4657767,0
-0.4657365,0
-0.46510094,0
-0.4646225,0
-0.46455514,0
-0.4639706,1
-0.46378827,0
-0.4637112,0
-0.46368665,0
-0.4635873,1
-0.4618709,0
-0.46176344,1
-0.4617474,0
-0.461693,1
-0.4616279,1
-0.4613363,0
-0.4611735,0
-0.4610708,0
-0.46034688,0
-0.4603157,0
-0.46024895,1
-0.4601546,0
-0.4600462,0
-0.45981193,0
-0.4597841,1
-0.45946935,1
-0.45810288,0
-0.45808816,1
-0.4580809,1
-0.4579016,1
-0.45774925,0
-0.45753804,1
-0.4574077,1
-0.45731848,1
-0.4569049,0
-0.4561708,0
-0.45590732,0
-0.45566213,0
-0.45531604,1
-0.45524138,0
-0.45513755,0
-0.45502234,0
-0.45451385,1
-0.45380643,0
-0.45352092,0
-0.4534263,0
-0.45325214,0
-0.45296192,0
-0.45285577,0
-0.4526822,1
-0.45233113,1
-0.45154828,0
-0.45133305,0
-0.4509511,0
-0.4503473,0
-0.45008194,0
-0.44978106,0
-0.4495389,0
-0.44941705,1
-0.44925618,0
-0.44923204,0
-0.44842613,0
-0.44813916,0
-0.4476143,0
-0.44715303,0
-0.44708154,0
-0.44698417,0
-0.4463295,0
-0.44614166,0
-0.44557166,0
-0.4451048,1
-0.44446638,1
-0.44434977,0
-0.4441452,0
-0.44390166,1
-0.4436599,0
-0.44354165,0
-0.443403,0
-0.4433912,0
-0.44274926,0
-0.44219455,0
-0.44100517,0
-0.4407959,0
-0.44075263,0
-0.44047657,0
-0.44042885,1
-0.4403878,0
-0.4403658,1
-0.44024274,0
-0.44021273,0
-0.43973,1
-0.43953073,0
-0.4394877,0
-0.43944132,0
-0.43893906,0
-0.4389227,0
-0.43870014,0
-0.43826848,0
-0.43821853,1
-0.43812898,0
-0.43811196,0
-0.43726182,0
-0.43696344,0
-0.4365443,0
-0.4365381,0
-0.4363365,0
-0.43618238,1
-0.43526667,0
-0.43525577,0
-0.43504003,0
-0.43372202,0
-0.4337091,0
-0.4326673,0
-0.4324454,0
-0.43201268,0
-0.43186426,0
-0.43111375,0
-0.43084735,0
-0.43073714,0
-0.4306224,0
-0.43048036,1
-0.430283,0
-0.43024415,1
-0.43023616,0
-0.43002036,0
-0.42960277,0
-0.42933026,0
-0.42901862,0
-0.42853105,0
-0.42807925,1
-0.4277336,0
-0.427175,1
-0.4271493,0
-0.42670608,0
-0.4263212,0
-0.4263182,0
-0.4251626,0
-0.4250023,1
-0.42484045,1
-0.42421746,0
-0.42405188,0
-0.42391396,0
-0.42380345,0
-0.42379808,0
-0.42365476,0
-0.42353725,0
-0.42329037,0
-0.42328537,0
-0.4228782,1
-0.42257184,0
-0.42253968,0
-0.4223106,0
-0.4220199,1
-0.4216862,0
-0.42167634,0
-0.42143068,1
-0.42131352,0
-0.4210559,0
-0.42105013,0
-0.42053843,0
-0.42047346,0
-0.42027175,0
-0.42015475,0
-0.41971195,0
-0.41948748,0
-0.4192631,0
-0.4190068,1
-0.41786414,1
-0.4177919,0
-0.41775477,1
-0.4174192,1
-0.417401,0
-0.4172994,0
-0.4172364,1
-0.41648683,0
-0.4159484,1
-0.41560778,1
-0.41421226,0
-0.41410637,0
-0.41298893,0
-0.41213775,0
-0.41213742,0
-0.4115934,0
-0.4113223,0
-0.41088438,0
-0.41034055,1
-0.41024894,0
-0.4095614,0
-0.4094056,0
-0.40931392,0
-0.40910375,0
-0.4090103,0
-0.40870318,0
-0.40824568,1
-0.40794075,1
-0.40764755,0
-0.40746045,0
-0.4068504,0
-0.40652692,0
-0.4059838,0
-0.40588972,0
-0.4058838,0
-0.40549767,0
-0.40471733,0
-0.40354848,0
-0.40352973,0
-0.40339386,0
-0.4031704,0
-0.40298414,0
-0.4029406,0
-0.40282363,0
-0.40281624,0
-0.40255356,1
-0.4023757,0
-0.40234262,0
-0.4020223,0
-0.4019534,0
-0.40139657,1
-0.40132892,0
-0.40107644,0
-0.40098727,0
-0.40038538,0
-0.4000225,0
-0.39998046,0
-0.39953953,0
-0.39949977,0
-0.39879787,1
-0.39879346,1
-0.39840958,1
-0.39830393,0
-0.3982608,0
-0.39824986,0
-0.39807177,1
-0.39803025,0
-0.3976586,0
-0.3975458,0
-0.39752376,0
-0.39709082,0
-0.3969796,1
-0.39686906,0
-0.3962072,0
-0.39580584,0
-0.39569765,0
-0.39535213,0
-0.3951778,0
-0.39475965,0
-0.3945577,0
-0.39436772,0
-0.394145,0
-0.39356953,0
-0.3934577,0
-0.39335608,0
-0.39314842,0
-0.39284468,0
-0.3927406,0
-0.39249074,0
-0.39239657,0
-0.39236927,1
-0.39212555,0
-0.3920066,1
-0.39172748,0
-0.3917064,0
-0.3916268,0
-0.39009872,0
-0.38990232,1
-0.38984728,1
-0.38958734,1
-0.3894999,0
-0.38932633,0
-0.38899928,0
-0.38863766,0
-0.38860667,0
-0.3884965,1
-0.38815814,0
-0.3880462,0
-0.3874886,1
-0.38721436,0
-0.38582817,0
-0.3854303,0
-0.38496256,0
-0.38456568,0
-0.38439065,0
-0.3840742,0
-0.3839668,0
-0.38363653,1
-0.3834844,1
-0.38310307,0
-0.38261318,0
-0.38228697,0
-0.38225842,0
-0.38196167,0
-0.38193727,0
-0.3816456,0
-0.3814651,1
