Enhancer_ID,LABEL_Specificity,ON_target,max_subclass_primary,gap,max_scaled_acc_mouse,gini_index,GC.content,accessibility_mouse
AiE0659m,On_Target,1,Sncg,0.9571967124938965,4.16727188659882,0.799676900541286,36.5740740740741,8.3548144698143
AiE0660m,No_Labeling,0,L5_ET,10.210853576660156,3.48856970301503,0.479618057976467,39.9361022364217,6.97318908758462
AiE0661m,Off_Target,0,L5_ET,1.6441876888275146,4.63317290430798,0.69779361638795,27.6051188299817,16.0173629717901
AiE0662m,No_Labeling,0,L5_ET,13.360502243041992,4.56057083741978,0.749833784200702,30.7692307692308,7.9693590067327
AiE0663m,No_Labeling,0,L5_ET,2.53347110748291,4.61399644703281,0.730979021026797,32.6892109500805,15.7289981497452
AiE0664m,On_Target,1,L6b,-0.7874116897583008,4.45058471267795,0.776080605738636,44.6835443037975,34.2983906976878
AiE0665m,On_Target,1,L5_ET,9.897747993469238,4.65609490859544,0.801171909174159,38.7516254876463,22.8070469694212
AiE0666m,Off_Target,0,Vip,3.6349334716796875,4.17414153884531,0.658387570849857,47.1571906354515,11.0709605086595
AiE0667m,On_Target,1,L5_ET,-1.0274920463562012,4.35245314859129,0.650558529879974,32.2916666666667,7.49748901091515
AiE0668m,No_Labeling,0,L5_ET,3.118302345275879,4.30355698719819,0.689538980664782,35.8552631578947,4.27304447628557
AiE0669m,No_Labeling,0,L6b,5.690413475036621,4.1978047878687,0.661339383472183,31.700288184438,5.03462610393763
AiE0670m,On_Target,1,L5_ET,11.071587562561035,4.66792652409081,0.790237648294312,34.2780026990553,11.5083835115656
AiE0671m,On_Target,1,L4_IT,,4.51197996695736,0.854042467533521,36.784140969163,15.4996016286313
AiE0674m,On_Target,1,L5_ET,15.511022567749023,4.32890056322275,0.772359203087093,37.4538745387454,9.56847376842052
AiE0675m,Mixed_Target,0,L2-3_IT,1.1044402122497559,3.94731085115859,0.658476542906642,52.0833333333333,9.54812453314661
AiE0677m,No_Labeling,0,L2-3_IT,-1.495770812034607,3.36762560077717,0.593702647380991,49.6551724137931,7.13835975900293
AiE0678m,No_Labeling,0,L2-3_IT,1.7447357177734375,3.22999819472999,0.615627753935934,39.8058252427184,3.18270815815776
AiE0679m,Mixed_Target,0,L2-3_IT,6.381272792816162,4.10652916835988,0.758375796951919,30.8510638297872,10.6620723595843
AiE0680m,On_Target,1,L2-3_IT,-5.513751983642578,4.43706021455195,0.681373124981538,38.423645320197,10.2073998469859
